workerid,proliferate.condition,about,accent,age,american,comments,education,gender,income,language,otherParty,party,politics,race_asian,race_black,race_hawaiian,race_latino,race_native,race_otherRaceCheck,race_otherRaceText,race_white,state,state1year,whichAccent,error
4699,default,How we perceive. people's staements,No,26,Yes,,4,Female,5,N/A,NA,Other,0.42,0,0,0,0,0,0,,1,CA,['CA'],,
4604,default,Perception of someone's opinion by how they phrase a sentence.,No,46,Yes,,2,Male,4,none,Constitution Party,Other,0.42,0,0,0,0,0,0,,1,MS,"['MS', 'TN']",,
4697,default,I think this experiment wanted to see if we associated a Southern accent with more conservative views.,No,34,Yes,"I sort of didn't like how varied the volume of the different speakers were. I had to adjust the volume for every speaker. In some cases, even individual speakers would be super loud at the very start of their sentence, and then they'd become really quiet after a few seconds.",3,Male,4,Japanese,Independents,Other,0.5,1,0,0,0,0,0,,0,HI,"['AZ', 'HI']",,
4401,default,perceptions of people,Yes,48,Yes,none,2,Female,0,,,Green,0.51,0,1,0,0,0,0,,0,LA,['LA'],Southern,
4590,default,Perceptions of inteligence and political affiliation based on location and accent.,No,38,Yes,,3,Male,4,,,Dem,0,0,1,0,1,1,1,Multi-ethnic,1,NY,['NY'],,
4570,default,Evaluation of political and social belief when compared with audio clip/sample of a particular person speaking (about a person or political issue).,Yes,30,Yes,"It was difficult to pry true intention and feeling from one line, but I did my best and very much enjoyed this task and challenging myself to think about it.",3,Male,1,N/A,,Dem,0.46,0,0,0,0,0,0,,1,PA,['PA'],Philadelphia,
4444,default,Perceptions of politics of southern people.,No,30,Yes,,3,Male,4,,,Dem,0,0,0,0,0,0,0,,1,WA,['WA'],,
4382,default,"Insinuations while listening to speech, assumptions based on accent, gender, assertion and ethnicity ",No,43,Yes,,3,Female,2,,,Rep,0.68,0,0,0,0,0,0,,1,MI,['MI'],,
4566,default,"I think this experiment was trying to evaluate people's first impressions about other people and their political views, confidence in their beliefs, intellect, personality traits, and so on, based on accent, appearance, number of friends, the viewpoints they espouse, and the phrasing of their viewpoints, or something similar.",Yes,27,Yes,"I made a conscious effort to not automatically stereotype Southerners as being innately stupid or ignorant, even if I don't agree with extreme conservative views. I also believe that first impressions of people should be significantly subject to revision after further interactions, and it often takes time before really getting to know someone. I try not to form conclusive opinions about people with limited context.",2,Male,7,Mandarin,"I was a liberal up until mid-2016 when I became completely disillusioned with politics. I've always been fairly anti-establishment and at this point, I believe that it's highly likely that anybody who reaches a high level of power within our political systems has taken on at least a few sociopathic traits and behaviors, because our systems unfortunately tend to reward self-interested actions. I have very little faith in politics at this point and I just see it as a somewhat necessary evil. I've resigned myself to let other people fight it out, but I still try and live in a way that supports positive changes in society in terms of interpersonal empathy.",Other,0.46,1,0,0,0,0,0,,0,MA,"['CA', 'MA', 'NV', 'NY', 'RI']","I'm not sure. I have a sort of distinctive and raspy voice that people often comment on. People tend to assume I'm from California and sometimes joke about my accent sounding sort of like a surfer or a valley boy. I actually only spent 3 years in California in my early 20's, and mostly grew up in the Metro Boston area, but I don't have a Boston accent. Some people may assume that I have a sort of SoCal accent because I have an 'alternative' aesthetic (long hair, piercings, tattoos) and I spent a lot of time immersed in SoCal punk-influenced culture growing up, despite not growing up there. I guess my accent is closest to that, but one time, I've also heard someone strangely say that my accent sounded slightly Irish (never heard that anywhere else), maybe because I grew up around a lot of Irish people. I also once heard someone say that I had a bit of an Australian accent, which was very strange but funny to me.",
4596,default,the way in which people express things by using another party,Yes,35,Yes,kind of hard to hear some people,3,Female,5,none,,Dem,0.36,0,0,0,0,0,0,,1,CA,['CA'],californian ,
