workerid,proliferate.condition,about,accent,age,american,comments,education,gender,income,language,otherParty,party,politics,race_asian,race_black,race_hawaiian,race_latino,race_native,race_otherRaceCheck,race_otherRaceText,race_white,state,state1year,whichAccent,error
3862,default,Language interpretation in some way,No,36,Yes,,4,Male,5,none,,Dem,0.09,0,0,0,0,0,0,,1,NJ,['NJ'],none,
3977,default,"How race, appearance, and political orientation may bias perception",Yes,73,Yes,None,4,Male,5,None,,Dem,0.19,0,0,0,0,0,0,,1,TN,['VA'],Southern,
3863,default,Perceptions of others based on their political affiliation,No,33,Yes,n/a,3,Male,6,,,Dem,0.24,0,0,0,0,0,0,,1,ME,['ME'],,
3991,default,How people view and judge others over their political opinions.,No,18,Yes,,1,Female,2,,,Dem,0.19,0,0,0,0,0,0,,1,TN,['TN'],,
3881,default,"There may be an interest in how various factors (our own beliefs, a person's party, a person's demographics/appearance, whether statements are about the person's own or other views) interact to affect our perceptions of what they say, ",No,40,Yes,"no comments, good luck with the research",4,Female,1,n/a,,Dem,0.1,0,0,0,0,0,0,,1,PA,"['IL', 'MN', 'NJ', 'PA']",,
3985,default,"Answer questions about political beliefs, impressions of people, and the meaning of statements
",No,35,Yes,,1,Male,0,english,none,-1,0.5,0,0,0,0,0,0,,1,CA,['CA'],,
3900,default,I don't know.,No,39,Yes,"I hate how truth, health, and science are political debates.",2,Male,2,,,Dem,0,0,0,0,0,0,0,,1,AZ,"['AZ', 'CA']",,
3877,default,perception,No,45,Yes,,4,Female,2,,,Rep,0.83,0,0,0,0,0,0,,1,NY,['NY'],,
3995,default,Politic beliefs.,Yes,64,Yes,,2,Male,1,None,,Dem,0,0,0,0,0,0,0,,1,MI,"['FL', 'WA']","I have a speech impediment that makes me sound like I am from Massachusets or, occasionally, England.",
3918,default,seeing whether someone's political party affects our perception on what they say and their beliefs based on their words,No,20,Yes,,2,Female,3,,,Dem,0.32,1,0,0,0,0,0,,0,MD,"['MD', 'NY']",,
3952,default,Intriguing ,No,37,Yes,,3,Male,2,none,,Rep,0.99,0,0,0,0,0,0,,1,NY,['NY'],,
3772,default,not sure,Yes,59,Yes,The 3rd part was super confusing. I am not sure I did it right. WTF?,3,Female,4,NA,,Dem,0,0,0,0,0,0,0,,1,UT,"['NH', 'SC', 'UT']",Idaho,
3925,default,Studying how people perceive others' in terms of political issues and their personal qualities,Yes,47,Yes,I am a never-Trump conservative,3,Male,1,,Independent,Other,0.74,0,0,0,0,0,0,,1,AL,['AL'],Southern,
